,time,open,high,low,close,amount,end_time,volume,count,buy_amount,buy_volume,null
0,1609412400000.0,29175.92,29182.72,28923.05,28945.99,9545.746,1609415999999.0,277310878.9847,73334.0,4147.835,120531774.89382,0.0
1,1609416000000.0,28945.8,29020.0,28398.45,28629.49,19896.354,1609419599999.0,572262339.28165,123581.0,8702.81,250401608.85161,0.0
2,1609419600000.0,28629.66,28658.0,27848.0,28544.32,36042.458,1609423199999.0,1020244774.4578,204878.0,16460.02,466113249.76557,0.0
3,1609423200000.0,28544.31,28551.4,28135.68,28398.0,17833.743,1609426799999.0,505418138.7444,112969.0,7688.206,217905445.15565,0.0
4,1609426800000.0,28398.0,28850.0,28388.0,28792.58,12441.289,1609430399999.0,356569782.47777,89302.0,6843.6,196146693.43747,0.0
5,1609430400000.0,28792.58,28837.77,28327.78,28408.72,13071.08,1609433999999.0,373596306.06499,91955.0,5578.768,159422226.51172,0.0
6,1609434000000.0,28407.73,28750.0,28378.1,28603.1,9192.806,1609437599999.0,262872696.10827,70382.0,4555.338,130240417.68188,0.0
7,1609437600000.0,28601.52,28923.71,28501.0,28883.17,8127.876,1609441199999.0,233688898.26173,64817.0,4181.018,120252000.9611,0.0
8,1609441200000.0,28883.17,29037.09,28761.52,28917.08,8298.073,1609444799999.0,239998663.24235,65281.0,4216.835,121994465.11059,0.0
9,1609444800000.0,28917.08,29180.99,28888.0,29155.97,5985.123,1609448399999.0,173600595.15628,53077.0,3132.339,90888722.30606,0.0
10,1609448400000.0,29155.96,29199.49,28915.96,28990.83,7883.536,1609451999999.0,229179765.61405,65760.0,3724.888,108304547.91938,0.0
11,1609452000000.0,28993.77,29175.92,28920.07,29125.25,4290.432,1609455599999.0,124766694.9207,47491.0,1949.491,56697977.63496,0.0
12,1609455600000.0,29123.18,29133.36,28800.0,28951.68,6908.52,1609459199999.0,200177720.04849,57251.0,3151.956,91351921.30781,0.0
13,1609459200000.0,28948.19,29055.0,28706.0,29015.0,8037.588,1609462799999.0,232164597.07348,65942.0,3983.842,115131176.76487,0.0
14,1609462800000.0,29015.0,29546.42,28975.46,29448.4,19543.401,1609466399999.0,573639378.82902,127126.0,10386.352,304866252.4402,0.0
15,1609466400000.0,29443.65,29500.0,29159.16,29237.06,10049.72,1609469999999.0,294664070.72756,69148.0,4513.355,132359304.09729,0.0
16,1609470000000.0,29236.58,29379.41,29174.95,29302.11,5579.452,1609473599999.0,163398239.78693,47082.0,2969.05,86971450.96965,0.0
17,1609473600000.0,29302.11,29422.32,29086.0,29237.07,8351.683,1609477199999.0,244391093.21475,59332.0,3661.258,107189542.60504,0.0
18,1609477200000.0,29237.06,29249.31,29110.89,29213.8,4199.729,1609480799999.0,122573099.21836,36831.0,1893.776,55289041.87259,0.0
19,1609480800000.0,29213.8,29283.0,29112.1,29197.3,3977.249,1609484399999.0,116099514.67533,39276.0,1870.918,54626484.25126,0.0
20,1609484400000.0,29198.01,29214.96,28822.0,29107.71,10153.425,1609487999999.0,294573962.77068,64740.0,4346.919,126140617.55803,0.0
21,1609488000000.0,29107.72,29190.0,28900.0,29025.89,9141.397,1609491599999.0,265445607.62602,63638.0,3960.083,115022580.98669,0.0
22,1609491600000.0,29025.9,29333.12,29000.0,29229.6,7225.092,1609495199999.0,211032556.39422,53455.0,3725.649,108838018.42401,0.0
23,1609495200000.0,29230.0,29398.74,29188.0,29259.29,5964.835,1609498799999.0,174739578.12659,51490.0,3205.183,93925740.93216,0.0
24,1609498800000.0,29259.3,29454.45,29248.66,29341.99,7231.306,1609502399999.0,212233378.20685,57806.0,3720.877,109231369.57657,0.0
25,1609502400000.0,29342.0,29668.86,29158.11,29257.82,21588.712,1609505999999.0,635139450.47585,128407.0,10720.187,315534545.07112,0.0
26,1609506000000.0,29257.99,29509.59,29238.39,29493.66,8216.882,1609509599999.0,241554223.20878,60153.0,4323.833,127128629.18802,0.0
27,1609509600000.0,29493.69,29570.0,29280.32,29354.58,8107.179,1609513199999.0,238572377.6079,62247.0,3634.581,106987089.09635,0.0
28,1609513200000.0,29354.57,29411.93,29043.75,29210.84,11230.179,1609516799999.0,328265426.47302,73887.0,5279.258,154370367.47996,0.0
29,1609516800000.0,29210.85,29388.1,29152.2,29324.21,6357.585,1609520399999.0,186192221.62949,48659.0,3446.281,100944163.34291,0.0
30,1609520400000.0,29324.21,29368.53,28927.35,29099.0,10867.198,1609523999999.0,316634136.82072,68420.0,4049.581,118029303.45098,0.0
31,1609524000000.0,29099.0,29300.0,28627.12,29086.62,20168.624,1609527599999.0,584844444.93793,119803.0,9306.682,270084838.94282,0.0
32,1609527600000.0,29086.62,29150.0,28967.17,29048.47,6274.763,1609531199999.0,182385025.23006,48614.0,3210.75,93350861.30021,0.0
33,1609531200000.0,29048.48,29299.06,28886.37,29214.14,7608.538,1609534799999.0,221718316.89692,56317.0,3724.577,108600196.4969,0.0
34,1609534800000.0,29214.13,29315.0,29160.0,29177.77,3874.626,1609538399999.0,113253147.59741,36634.0,1881.073,54997459.98379,0.0
35,1609538400000.0,29177.78,29349.88,29118.4,29270.89,4145.307,1609541999999.0,121313696.3824,42151.0,1979.668,57948231.15426,0.0
36,1609542000000.0,29275.64,29350.0,29241.31,29337.16,2821.928,1609545599999.0,82677480.17484,30635.0,1454.169,42608321.6364,0.0
37,1609545600000.0,29337.15,29350.0,28958.24,29215.89,11383.003,1609549199999.0,331833003.02736,74189.0,5181.884,151081631.88167,0.0
38,1609549200000.0,29215.89,29430.0,29114.22,29380.0,7693.401,1609552799999.0,225400103.66738,59846.0,3999.126,117193391.65865,0.0
39,1609552800000.0,29380.0,29500.0,29340.7,29347.02,6230.851,1609556399999.0,183266045.72766,49649.0,3199.611,94135392.87708,0.0
40,1609556400000.0,29347.02,29402.59,29266.99,29364.67,4118.911,1609559999999.0,120855173.15221,35853.0,1993.382,58500421.48208,0.0
41,1609560000000.0,29364.68,29415.0,29230.0,29363.03,4267.183,1609563599999.0,125136952.93265,36060.0,2091.784,61357849.97102,0.0
42,1609563600000.0,29362.97,29633.8,29362.96,29628.65,9433.473,1609567199999.0,278491799.44961,66168.0,5473.687,161609609.65266,0.0
43,1609567200000.0,29628.64,29800.0,29483.7,29733.03,12171.545,1609570799999.0,361025280.4051,90625.0,6368.175,188952910.33541,0.0
44,1609570800000.0,29733.09,29878.0,29648.0,29777.33,11036.513,1609574399999.0,328492510.75386,81657.0,5779.375,172065903.6061,0.0
45,1609574400000.0,29778.77,29898.58,29671.0,29870.0,11105.298,1609577999999.0,331060265.67716,78966.0,5388.533,160683449.03535,0.0
46,1609578000000.0,29870.01,29950.0,29600.02,29642.1,15683.827,1609581599999.0,467105941.69566,101841.0,7231.944,215502021.4042,0.0
47,1609581600000.0,29642.1,29859.0,29491.09,29708.25,12364.982,1609585199999.0,367174535.4942,84355.0,5869.55,174358215.94057,0.0
48,1609585200000.0,29708.24,29810.0,29646.53,29775.52,4936.05,1609588799999.0,146785027.62332,43019.0,2320.333,69011801.52651,0.0
49,1609588800000.0,29775.0,30960.0,29759.68,30660.12,55925.447,1609592399999.0,1699928112.20555,335801.0,30507.718,927448598.22312,0.0
50,1609592400000.0,30660.11,31638.82,30570.0,31616.51,40675.339,1609595999999.0,1263889250.74605,266690.0,21628.267,672364501.26535,0.0
51,1609596000000.0,31610.71,31675.04,31123.73,31335.01,26720.425,1609599599999.0,837293194.84316,175723.0,12481.305,391230933.88113,0.0
52,1609599600000.0,31337.87,31873.02,31272.42,31717.01,20893.218,1609603199999.0,659931044.30784,143859.0,11123.399,351386894.8184,0.0
53,1609603200000.0,31720.79,33126.67,31718.43,32543.45,82408.607,1609606799999.0,2674719235.83192,480425.0,42365.42,1375226053.15794,0.0
54,1609606800000.0,32545.48,33000.0,32431.87,32904.2,21370.376,1609610399999.0,699197718.17521,144243.0,10762.634,352222288.8829,0.0
55,1609610400000.0,32904.2,33480.0,32487.68,33100.0,29214.312,1609613999999.0,962255459.10489,184678.0,14725.114,485262279.19095,0.0
56,1609614000000.0,33100.0,33333.0,32743.02,33115.41,20252.544,1609617599999.0,670121923.31918,134038.0,9669.508,320043185.16293,0.0
