1636221600000,2.68240000,2.79260000,2.67700000,2.76830000,21524221.00000000,1636243199999,58963365.71750000,93758,11069451.00000000,30325007.93290000,0
1636243200000,2.76830000,2.87810000,2.75390000,2.83530000,18392954.00000000,1636264799999,51947411.22760000,89090,9743200.00000000,27516137.18450000,0
1636264800000,2.83530000,2.84810000,2.76250000,2.78890000,11892782.00000000,1636286399999,33354062.54780000,62431,5462642.00000000,15326604.08120000,0
1636286400000,2.78860000,2.82150000,2.77720000,2.79950000,11413293.00000000,1636307999999,31938619.66800000,51119,5889760.00000000,16482649.47170000,0
1636308000000,2.79950000,2.89690000,2.78360000,2.86610000,17138276.00000000,1636329599999,48826397.85640000,81490,9021699.00000000,25696937.38670000,0
1636329600000,2.86660000,2.96900000,2.81500000,2.93390000,23590134.00000000,1636351199999,68667386.99020000,110976,12796601.00000000,37259411.34810000,0
1636351200000,2.93430000,2.95000000,2.84550000,2.90090000,17903033.00000000,1636372799999,51832693.33800000,87968,9207426.00000000,26656651.53730000,0
1636372800000,2.90070000,3.17500000,2.89710000,3.06590000,56696833.00000000,1636394399999,173671960.56670000,275184,30019375.00000000,91907136.96850000,0
1636394400000,3.06590000,3.16830000,3.04630000,3.16340000,21660083.00000000,1636415999999,67095752.65550000,125569,11218460.00000000,34751313.17530000,0
1636416000000,3.16380000,3.16900000,3.00230000,3.06840000,20487451.00000000,1636437599999,62636039.12650000,105013,9588579.00000000,29329786.55170000,0
1636437600000,3.06820000,3.10670000,3.00180000,3.03210000,18582776.00000000,1636459199999,56898221.11630000,70602,7178489.00000000,21993589.09790000,0
1636459200000,3.03210000,3.04520000,2.89020000,2.93390000,30845740.00000000,1636480799999,90955660.88010000,145145,13839680.00000000,40803671.79300000,0
1636480800000,2.93390000,2.94790000,2.85700000,2.86740000,15912900.00000000,1636502399999,46166027.44450000,87253,8565220.00000000,24861183.31900000,0
1636502400000,2.86760000,2.89640000,2.78020000,2.81520000,17973965.00000000,1636523999999,50748014.97250000,112758,8425628.00000000,23801098.46490000,0
1636524000000,2.81520000,2.87440000,2.80000000,2.84390000,13631568.00000000,1636545599999,38721853.51520000,72964,7084675.00000000,20131489.65560000,0
1636545600000,2.84270000,2.98700000,2.74660000,2.87310000,37938575.00000000,1636567199999,108907676.41570000,179144,19031774.00000000,54624376.78700000,0
1636567200000,2.87330000,2.89190000,2.26500000,2.63620000,70446263.00000000,1636588799999,183543877.21410000,343452,32240177.00000000,84183657.68860000,0
1636588800000,2.63620000,2.67560000,2.57400000,2.66140000,17710457.00000000,1636610399999,46447777.20950000,81119,8978247.00000000,23553590.22410000,0
1636610400000,2.66050000,2.72900000,2.63730000,2.68010000,16011228.00000000,1636631999999,42919878.34770000,77993,7949729.00000000,21311676.32170000,0
1636632000000,2.67990000,2.68930000,2.57590000,2.62250000,15055566.00000000,1636653599999,39643654.06510000,80363,7153094.00000000,18839263.45130000,0
1636653600000,2.62170000,2.65020000,2.58930000,2.59850000,13737681.00000000,1636675199999,35988274.77970000,60860,6453939.00000000,16916405.09530000,0
1636675200000,2.59840000,2.62380000,2.53500000,2.57170000,13100310.00000000,1636696799999,33945760.80120000,64657,6641457.00000000,17216613.32620000,0
1636696800000,2.57240000,2.58970000,2.44660000,2.54220000,30993223.00000000,1636718399999,78232747.26130000,128576,14973950.00000000,37834169.80240000,0
1636718400000,2.54230000,2.68790000,2.48010000,2.59060000,41203162.00000000,1636739999999,106727076.62670000,157781,19750375.00000000,51278547.20150000,0
1636740000000,2.59110000,2.69650000,2.59050000,2.63130000,14940364.00000000,1636761599999,39521026.15690000,68376,8025901.00000000,21236144.03380000,0
1636761600000,2.63060000,2.65900000,2.60350000,2.61150000,6837759.00000000,1636783199999,17984049.60800000,36602,3319130.00000000,8731166.59150000,0
1636783200000,2.61150000,2.66840000,2.58140000,2.60910000,10465796.00000000,1636804799999,27453982.14570000,49178,5105417.00000000,13396891.30880000,0
1636804800000,2.60860000,2.71680000,2.57150000,2.69900000,19499996.00000000,1636826399999,51523174.19950000,93122,9522331.00000000,25193431.01770000,0
1636826400000,2.69910000,2.70540000,2.59290000,2.61700000,13199856.00000000,1636847999999,34890528.88010000,58830,5387133.00000000,14263904.30740000,0
1636848000000,2.61690000,2.67150000,2.56200000,2.61270000,18316617.00000000,1636869599999,47808082.64500000,75048,9375267.00000000,24525145.19680000,0
1636869600000,2.61300000,2.61500000,2.56260000,2.59230000,6802370.00000000,1636891199999,17602200.46450000,34838,3394503.00000000,8783584.12200000,0
1636891200000,2.59230000,2.61320000,2.51010000,2.54570000,12391336.00000000,1636912799999,31700443.71100000,65072,5865887.00000000,15028044.85580000,0
1636912800000,2.54600000,2.58980000,2.53000000,2.58820000,6352359.00000000,1636934399999,16259047.76420000,31658,3154582.00000000,8077244.82340000,0
1636934400000,2.58890000,2.62000000,2.57500000,2.58880000,10406853.00000000,1636955999999,27014839.88100000,47402,5314550.00000000,13801537.11440000,0
1636956000000,2.58920000,2.61220000,2.56000000,2.56790000,12543281.00000000,1636977599999,32444255.06210000,53902,6289047.00000000,16270910.32770000,0
1636977600000,2.56770000,2.57910000,2.51100000,2.51620000,9981094.00000000,1636999199999,25392722.07560000,51791,4522475.00000000,11507015.77650000,0
1636999200000,2.51630000,2.52050000,2.46070000,2.47010000,10693230.00000000,1637020799999,26638460.14810000,54415,4597759.00000000,11455207.73250000,0
1637020800000,2.47070000,2.47100000,2.25000000,2.30660000,34777809.00000000,1637042399999,81212874.68250000,168537,15705032.00000000,36701042.93140000,0
1637042400000,2.30680000,2.40000000,2.02100000,2.25120000,49894908.00000000,1637063999999,110258586.66100000,197580,23895030.00000000,52974900.12590000,0
1637064000000,2.25120000,2.31380000,2.20000000,2.26660000,18401254.00000000,1637085599999,41488285.56170000,83085,9434949.00000000,21275929.97580000,0
1637085600000,2.26560000,2.28500000,2.14400000,2.20270000,21306808.00000000,1637107199999,47264960.94110000,84198,10131459.00000000,22470708.63290000,0
1637107200000,2.20270000,2.21900000,2.07680000,2.17180000,19953274.00000000,1637128799999,42904001.06110000,86506,9519862.00000000,20468344.76570000,0
1637128800000,2.17200000,2.37000000,2.11140000,2.23260000,32689339.00000000,1637150399999,71864508.61560000,128335,17031072.00000000,37470740.40430000,0
1637150400000,2.23190000,2.23530000,2.10490000,2.17000000,22281931.00000000,1637171999999,48232791.02400000,77371,11232784.00000000,24312313.70970000,0
1637172000000,2.17010000,2.22440000,2.09890000,2.14910000,22050481.00000000,1637193599999,47629428.48460000,82447,9359131.00000000,20253294.80990000,0
1637193600000,2.14920000,2.22460000,2.12730000,2.13220000,15743367.00000000,1637215199999,34243950.75130000,62011,7951726.00000000,17290781.46120000,0
1637215200000,2.13220000,2.13550000,1.99370000,2.02180000,36164864.00000000,1637236799999,74372112.85460000,123352,17975832.00000000,37019399.04700000,0
1637236800000,2.02180000,2.05530000,1.76180000,1.85560000,90591732.00000000,1637258399999,172739906.06830000,246295,44696956.00000000,85206354.08820000,0
1637258400000,1.85580000,1.98500000,1.80030000,1.84770000,43982849.00000000,1637279999999,82207129.47640000,135108,20655923.00000000,38702452.10370000,0
1637280000000,1.84700000,1.95670000,1.81070000,1.94940000,29378137.00000000,1637301599999,55068614.12920000,88933,15434338.00000000,28959505.26090000,0
1637301600000,1.94940000,2.06650000,1.88090000,2.05870000,36294528.00000000,1637323199999,72512455.87840000,107302,18362951.00000000,36740191.58270000,0
1637323200000,2.05990000,2.20720000,2.05250000,2.16850000,60740379.00000000,1637344799999,130131216.87070000,191943,30055749.00000000,64448763.94740000,0
1637344800000,2.16820000,2.26650000,2.16720000,2.26300000,25785201.00000000,1637366399999,57331621.21830000,107279,13776540.00000000,30637335.56330000,0
1637366400000,2.26370000,2.28400000,2.17390000,2.20750000,23966362.00000000,1637387999999,53418842.64630000,94146,11507558.00000000,25657197.71910000,0
1637388000000,2.20690000,2.24000000,2.16040000,2.17570000,17033927.00000000,1637409599999,37403307.04880000,56436,7704827.00000000,16930171.29490000,0
1637409600000,2.17540000,2.20850000,2.07670000,2.10550000,24755099.00000000,1637431199999,52728622.07210000,107866,11363261.00000000,24221960.76490000,0
1637431200000,2.10550000,2.19290000,2.09250000,2.17980000,20051788.00000000,1637452799999,43135846.61410000,64265,10852785.00000000,23346476.02140000,0
1637452800000,2.17980000,2.18170000,2.06850000,2.10540000,13474491.00000000,1637474399999,28408985.27980000,45910,6257050.00000000,13185509.26160000,0
1637474400000,2.10400000,2.10700000,2.01870000,2.03730000,20101996.00000000,1637495999999,41529263.71090000,75899,9447133.00000000,19515630.00060000,0
1637496000000,2.03630000,2.20000000,2.00000000,2.10330000,27606786.00000000,1637517599999,57164308.83830000,100132,14021963.00000000,29074506.01290000,0
1637517600000,2.10390000,2.16440000,2.06660000,2.07450000,19729884.00000000,1637539199999,41635658.08830000,68401,9675129.00000000,20415835.46590000,0
1637539200000,2.07600000,2.08930000,1.95140000,1.99880000,24479436.00000000,1637560799999,49105713.68250000,80891,11732868.00000000,23535865.75850000,0
1637560800000,1.99830000,2.04720000,1.98500000,2.00210000,14811053.00000000,1637582399999,29869639.76200000,46669,7174498.00000000,14473659.41800000,0
1637582400000,2.00170000,2.07100000,1.95800000,1.98490000,23668834.00000000,1637603999999,47642845.64290000,74639,11797923.00000000,23754096.67570000,0
1637604000000,1.98670000,1.99030000,1.92110000,1.94900000,16616693.00000000,1637625599999,32445878.13130000,55103,8221009.00000000,16054899.09730000,0
1637625600000,1.94970000,2.07500000,1.92540000,2.02430000,17383533.00000000,1637647199999,34999625.65060000,59560,9231741.00000000,18598733.34980000,0
1637647200000,2.02360000,2.27810000,1.99650000,2.14910000,116420164.00000000,1637668799999,247068577.08280000,336102,59680675.00000000,125628124.31820000,0
1637668800000,2.14920000,2.45630000,2.14740000,2.39160000,79042881.00000000,1637690399999,183033445.98920000,282824,42153155.00000000,97536186.36660000,0
1637690400000,2.39170000,2.41990000,2.28110000,2.31310000,34335466.00000000,1637711999999,80602957.67120000,134339,16502223.00000000,38769901.97530000,0
1637712000000,2.31310000,2.38990000,2.25020000,2.26280000,26950902.00000000,1637733599999,62219486.91630000,123407,13141006.00000000,30365173.87510000,0
1637733600000,2.26260000,2.50340000,2.22300000,2.49310000,51321926.00000000,1637755199999,120697669.73680000,188966,26601550.00000000,62720528.14040000,0
1637755200000,2.49260000,2.49600000,2.27080000,2.44900000,62044154.00000000,1637776799999,149194359.84750000,229846,29464462.00000000,70847474.19660000,0
1637776800000,2.44890000,2.61000000,2.44820000,2.58780000,48125936.00000000,1637798399999,122246125.72260000,187771,25157094.00000000,63933286.13810000,0
1637798400000,2.58780000,2.67000000,2.50400000,2.52600000,35642271.00000000,1637819999999,92114027.69580000,154355,16835753.00000000,43543279.04650000,0
1637820000000,2.52630000,2.58620000,2.44890000,2.51720000,34347293.00000000,1637841599999,86228450.82690000,151228,16253822.00000000,40802608.75110000,0
1637841600000,2.51730000,2.59850000,2.44940000,2.47180000,26029537.00000000,1637863199999,65550737.86880000,101498,12631061.00000000,31828392.68110000,0
1637863200000,2.47180000,2.51140000,2.41710000,2.47140000,17671599.00000000,1637884799999,43712500.11860000,77407,8132682.00000000,20129404.78630000,0
1637884800000,2.47180000,2.56000000,2.34060000,2.36620000,19904544.00000000,1637906399999,48617413.09950000,95569,9277929.00000000,22667408.94780000,0
1637906400000,2.36620000,2.39700000,2.00000000,2.07710000,85456694.00000000,1637927999999,182629332.98260000,301932,40150865.00000000,85870158.32630000,0
1637928000000,2.07720000,2.26500000,2.05110000,2.16830000,41474576.00000000,1637949599999,89458763.89600000,131886,21401456.00000000,46182107.51160000,0
1637949600000,2.16790000,2.21000000,2.10320000,2.11630000,15988349.00000000,1637971199999,34535382.95950000,61457,7461832.00000000,16124982.98910000,0
1637971200000,2.11680000,2.18450000,2.09710000,2.10680000,15907743.00000000,1637992799999,34224718.12010000,78193,7510873.00000000,16161842.87730000,0
1637992800000,2.10680000,2.21650000,2.09950000,2.15350000,17726727.00000000,1638014399999,38256661.20240000,70983,8906267.00000000,19215459.85470000,0
1638014400000,2.15310000,2.16970000,2.10790000,2.12150000,13643661.00000000,1638035999999,29158275.81110000,46749,6845090.00000000,14623249.42360000,0
1638036000000,2.12140000,2.13800000,2.02750000,2.08220000,13281511.00000000,1638057599999,27686826.85790000,50052,6172038.00000000,12878402.75740000,0
1638057600000,2.08140000,2.08830000,1.95730000,2.01860000,17805452.00000000,1638079199999,35762485.00810000,68383,8512369.00000000,17094652.29640000,0
1638079200000,2.01890000,2.05160000,1.98460000,2.01990000,11176017.00000000,1638100799999,22537558.00740000,35815,5280206.00000000,10651592.96440000,0
1638100800000,2.01970000,2.04480000,1.95110000,1.95620000,14198440.00000000,1638122399999,28449322.10210000,48052,6553988.00000000,13136704.74760000,0
1638122400000,1.95610000,2.12240000,1.88140000,2.11380000,29890035.00000000,1638143999999,60267244.67530000,98828,14467435.00000000,29243275.56250000,0
1638144000000,2.11280000,2.12530000,2.06910000,2.08450000,12706808.00000000,1638165599999,26653133.64620000,46608,6242590.00000000,13098784.51960000,0
1638165600000,2.08450000,2.12980000,2.05850000,2.07910000,12999486.00000000,1638187199999,27177976.59230000,51204,6365102.00000000,13314276.94220000,0
1638187200000,2.07890000,2.17680000,2.07060000,2.16070000,19233865.00000000,1638208799999,40873848.26380000,70247,9590918.00000000,20396113.51980000,0
1638208800000,2.16130000,2.18690000,2.13020000,2.16260000,12309991.00000000,1638230399999,26617854.26060000,41924,6353240.00000000,13739098.33530000,0
1638230400000,2.16270000,2.22140000,2.09390000,2.12540000,16578360.00000000,1638251999999,35834706.72740000,65310,7504530.00000000,16252642.59810000,0
1638252000000,2.12530000,2.16400000,2.07010000,2.16050000,17103048.00000000,1638273599999,36080201.69410000,61915,8122667.00000000,17148452.56890000,0
